id,make,model,displ,cyl,trans,drive,fuel,salesArea,stnd,stnd_description,underhood_id,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,comb_co2
494,FORD,Transit T250 CC,3.2,5,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD03.26BV,special purpose,2,N/A,N/A,N/A,10,No,N/A
495,FORD,Transit T250 FFV,3.7,6,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT03.76BF,van,2,N/A,N/A,N/A,10,No,N/A
496,FORD,Transit T250 FFV,3.7,6,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT03.76BF,van,2,N/A,N/A,N/A,10,No,N/A
497,FORD,Transit T250 FFV,3.7,6,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT03.76BF,special purpose,2,N/A,N/A,N/A,10,No,N/A
498,FORD,Transit T250 FFV,3.7,6,SemiAuto-6,2WD,Ethanol/Gas,FC,B8,Federal Tier 2 Bin 8,FFMXT03.76BF,special purpose,2,N/A,N/A,N/A,10,No,N/A
499,FORD,Transit T350,3.2,5,SemiAuto-6,2WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.26BV,van,1,N/A,N/A,N/A,10,No,N/A
500,FORD,Transit T350,3.2,5,SemiAuto-6,2WD,Diesel,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.26BV,van,1,N/A,N/A,N/A,10,No,N/A
501,FORD,Transit T350,3.2,5,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD03.26BV,van,2,N/A,N/A,N/A,10,No,N/A
502,FORD,Transit T350,3.2,5,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD03.26BV,van,2,N/A,N/A,N/A,10,No,N/A
503,FORD,Transit T350,3.2,5,SemiAuto-6,2WD,Diesel,FA,HDV2,HDV2 (Federal HD chassis Class 3 GVW 10001-14000),FFMXD03.27BV,van,1,N/A,N/A,N/A,10,No,N/A
504,FORD,Transit T350,3.2,5,SemiAuto-6,2WD,Diesel,CA,U2,California LEV-II ULEV,FFMXD03.27BV,van,2,N/A,N/A,N/A,10,No,N/A
505,FORD,Transit T350,3.5,6,SemiAuto-6,2WD,Gasoline,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.56BT,van,1,N/A,N/A,N/A,10,No,N/A
506,FORD,Transit T350,3.5,6,SemiAuto-6,2WD,Gasoline,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.56BT,van,1,N/A,N/A,N/A,10,No,N/A
507,FORD,Transit T350,3.5,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXD03.56BT,van,2,N/A,N/A,N/A,10,No,N/A
508,FORD,Transit T350,3.5,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXD03.56BT,van,2,N/A,N/A,N/A,10,No,N/A
509,FORD,Transit T350,3.5,6,SemiAuto-6,2WD,Gasoline,FA,HDV2,HDV2 (Federal HD chassis Class 3 GVW 10001-14000),FFMXD03.57BT,van,1,N/A,N/A,N/A,10,No,N/A
510,FORD,Transit T350,3.5,6,SemiAuto-6,2WD,Gasoline,FA,HDV2,HDV2 (Federal HD chassis Class 3 GVW 10001-14000),FFMXD03.57BT,van,1,N/A,N/A,N/A,10,No,N/A
511,FORD,Transit T350,3.5,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXD03.57BT,van,1,N/A,N/A,N/A,10,No,N/A
512,FORD,Transit T350,3.5,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXD03.57BT,van,1,N/A,N/A,N/A,10,No,N/A
513,FORD,Transit T350,3.7,6,SemiAuto-6,2WD,Gasoline,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.76BU,special purpose,1,N/A,N/A,N/A,10,No,N/A
514,FORD,Transit T350,3.7,6,SemiAuto-6,2WD,Gasoline,FA,HDV1,HDV1 (Federal HD chassis Class 2b GVW 8501-10000),FFMXD03.76BU,special purpose,1,N/A,N/A,N/A,10,No,N/A
515,FORD,Transit T350,3.7,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXD03.76BU,special purpose,2,N/A,N/A,N/A,10,No,N/A
